CustomerID,FirstName,Last_Name,email,DateOfBirth,CityID
1,Philly,Tuckett,ptuckett0@pbs.org,7/16/1981,1
2,Amie,Hillock,ahillock1@surveymonkey.com,5/10/1987,4
3,Flore,Rizzo,frizzo2@skype.com,9/6/1980,3
4,Kimberli,Yewdale,kyewdale3@mtv.com,7/19/1998,2
5,Sonya,Gallanders,sgallanders4@blogspot.com,1/8/1981,1
6,Katleen,Chipp,kchipp5@intel.com,4/1/1995,5
7,Linette,Gerrard,lgerrard6@typepad.com,8/4/2005,5
8,Tynan,Ofener,tofener7@issuu.com,7/2/1998,3
9,Junette,Thamelt,jthamelt8@oakley.com,2/21/1985,4
10,Maible,Airton,mairton9@discuz.net,2/15/1996,1
11,Corey,Mattheissen,cmattheissena@photobucket.com,12/24/1995,4
12,Freedman,Conkay,fconkayb@buzzfeed.com,1/2/1987,2
13,Ashly,Hungerford,ahungerfordc@amazon.com,11/20/1991,5
14,Bartlett,Klein,bkleind@hao123.com,3/24/2003,3
15,Christiana,Jago,cjagoe@engadget.com,4/15/1991,2
16,Stevana,Kaplan,skaplanf@usnews.com,4/21/1990,5
17,Rosaleen,Hawgood,rhawgoodg@shutterfly.com,10/12/2005,4
18,Sallyanne,Kettlewell,skettlewellh@bbb.org,10/14/1988,4
19,Kurt,Arboine,karboinei@printfriendly.com,9/7/1998,5
20,Genevra,Zuppa,gzuppaj@patch.com,12/30/1986,2
21,Emogene,Scotford,escotfordk@imgur.com,8/26/1990,3
22,Rurik,De'Ath,rdeathl@omniture.com,7/24/2000,3
23,Ky,Van Dale,kvandalem@economist.com,9/18/1988,4
24,Janot,Picken,jpickenn@bloomberg.com,8/16/1998,3
25,Benni,Velareal,bvelarealo@addtoany.com,9/20/1993,4
26,Rayshell,Venning,rvenningp@vinaora.com,5/6/1976,1
27,Parry,Losemann,plosemannq@1und1.de,1/10/1978,2
28,Randie,Tarrier,rtarrierr@mediafire.com,2/27/2002,3
29,Brandy,Dyke,bdykes@buzzfeed.com,10/13/1989,3
30,Leo,Coronado,lcoronadot@goodreads.com,10/3/1977,1
31,Belva,Furlong,bfurlongu@e-recht24.de,1/10/1978,5
32,Madlen,Corstorphine,mcorstorphinev@wordpress.org,6/3/1987,5
33,Lyon,Secretan,lsecretanw@admin.ch,7/9/1993,1
34,Rhodie,Matushenko,rmatushenkox@smh.com.au,10/17/2005,1
35,Helsa,O' Markey,homarkeyy@bloglines.com,10/27/1993,5
36,Terencio,Arnfield,tarnfieldz@bbc.co.uk,4/30/1998,2
37,Alexio,Tortoise,atortoise10@shutterfly.com,11/22/2000,4
38,Nanni,Hawley,nhawley11@taobao.com,12/9/1987,3
39,Julio,Deavin,jdeavin12@fda.gov,3/31/2004,3
40,Aline,East,aeast13@arstechnica.com,4/15/1997,3
41,Crissie,Burchatt,cburchatt14@mozilla.org,3/22/2003,4
42,Elaine,Dumberrill,edumberrill15@wordpress.com,5/11/1994,4
43,Dilly,Selliman,dselliman16@usa.gov,11/16/1993,4
44,Maximo,Boffey,mboffey17@google.es,5/11/1989,2
45,Erinn,Maybery,emaybery18@pbs.org,8/9/2001,3
46,Drew,Mattioni,dmattioni19@java.com,9/4/1999,5
47,Richmound,Michelle,rmichelle1a@yelp.com,11/13/1982,1
48,Alleyn,Taile,ataile1b@ning.com,4/15/1994,2
49,Templeton,Norton,tnorton1c@symantec.com,6/13/1992,3
50,Rossie,MacTrustey,rmactrustey1d@imdb.com,9/13/2005,1
51,Kristos,Beatty,kbeatty1e@shop-pro.jp,3/13/1988,1
52,Tallia,Headan,theadan1f@creativecommons.org,9/13/1984,5
53,Clayborn,Bellinger,cbellinger1g@etsy.com,8/20/2001,4
54,Algernon,Allin,aallin1h@vkontakte.ru,6/14/1998,1
55,Gypsy,McGrorty,gmcgrorty1i@nbcnews.com,2/1/1985,4
56,Alano,Delacroix,adelacroix1j@nasa.gov,11/10/1982,2
57,Ola,Extance,oextance1k@princeton.edu,4/5/1982,4
58,Maurine,Treadgold,mtreadgold1l@dailymotion.com,9/12/1976,2
59,Sholom,O'Criane,socriane1m@businessweek.com,2/6/1982,5
60,Erek,Caller,ecaller1n@dot.gov,3/10/1996,2
61,Danila,Denerley,ddenerley1o@woothemes.com,6/1/1995,4
62,Janina,MacIlhagga,jmacilhagga1p@nature.com,5/20/1994,1
63,Maggie,Mosconi,mmosconi1q@ucsd.edu,6/25/2004,3
64,Yancy,Velez,yvelez1r@devhub.com,4/11/1999,3
65,Lacey,Laslett,llaslett1s@nba.com,12/19/1995,5
66,Dionysus,Alderton,dalderton1t@globo.com,4/14/1997,3
67,Derek,Catto,dcatto1u@imgur.com,11/25/1991,5
68,Ingar,Isack,iisack1v@cloudflare.com,2/23/1993,3
69,Kathi,Espina,kespina1w@usatoday.com,3/26/1987,1
70,Alaster,Okenfold,aokenfold1x@homestead.com,11/19/2005,1
71,Janel,Arnault,jarnault1y@blinklist.com,7/29/1990,2
72,Cart,O' Mara,comara1z@nytimes.com,1/21/1977,2
73,Janie,Litster,jlitster20@nsw.gov.au,11/27/1984,2
74,Claudianus,Peterffy,cpeterffy21@tumblr.com,4/4/1987,3
75,Raffarty,Hurren,rhurren22@taobao.com,8/20/2004,3
76,Conni,Byne,cbyne23@about.com,4/4/1988,4
77,Wit,Shortt,wshortt24@icq.com,5/12/2001,3
78,Frankie,Gilhool,fgilhool25@google.ca,1/10/1979,3
79,Ayn,Izhaky,aizhaky26@github.com,4/29/1984,2
80,Chucho,Mc Cahey,cmccahey27@smugmug.com,6/6/2003,5
81,Ira,Giabucci,igiabucci28@shutterfly.com,1/8/1980,5
82,Emmanuel,Danilenko,edanilenko29@a8.net,11/29/2005,3
83,Craggy,Dowsey,cdowsey2a@edublogs.org,12/8/1981,3
84,Jodi,Bretland,jbretland2b@sphinn.com,8/31/2002,5
85,Weider,Da Costa,wdacosta2c@cnet.com,10/12/1997,4
86,Conny,Gian,cgian2d@patch.com,9/17/2004,5
87,Lona,Kornyakov,lkornyakov2e@soundcloud.com,2/26/1983,1
88,Harmon,Bridewell,hbridewell2f@smh.com.au,9/9/1995,2
89,Isis,Milnes,imilnes2g@eventbrite.com,3/2/1980,2
